event,step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary,episode_reward,episode_length,episode_success,kl_divergence
episode,1822,26,-22.756550771768275,,,,-2.9617115169875325,16,0,
episode,1835,27,-19.19325070661099,,,,-2.0922493266165256,13,0,
episode,1851,28,-19.2499714997269,,,,-2.6226649994980544,16,0,
episode,1869,29,-17.44095948463644,,,,-1.8098937679347584,18,0,
episode,1971,30,-18.016484785925808,,,,-32.114281881900496,102,0,
episode,2162,31,-17.238278209130247,,,,-29.836501969442022,191,0,
evaluation,2162,31,,,,0.0,,,,
episode,2288,32,-18.94385091097895,,,,-19.274125984534912,126,0,
episode,2303,33,-16.02819608345297,,,,-2.18611406278424,15,0,
episode,2420,34,-15.654070005273686,,,,-26.84435796810035,117,0,
optimizer_update,2420,34,,-0.001662081480026245,4.648468033472697,,,,,0.04515443180377285
episode,2608,35,-15.504314333861316,,,,-35.30124186081427,188,0,
evaluation,2608,35,,,,0.0,,,,
episode,2792,36,-18.751009781117414,,,,-35.4286659895485,184,0,
episode,2944,37,-20.34779931527619,,,,-18.0601446682043,152,0,
optimizer_update,2944,37,,-0.0013949548204739888,9.282546281814575,,,,,0.04896534555074242
episode,2975,38,-20.183264880234194,,,,-0.9773206490781159,31,0,
episode,3077,39,-20.653653707692918,,,,-6.513782042521984,102,0,
evaluation,3077,39,,,,0.0,,,,
episode,3238,40,-19.418998441318525,,,,-19.767729218156546,161,0,
episode,3334,41,-17.165521271141507,,,,-7.301730267671868,96,0,
episode,3441,42,-15.932778211077164,,,,-6.946695383891471,107,0,
episode,3517,43,-17.763506811469842,,,,-20.493400066711008,76,0,
optimizer_update,3517,43,,-0.01894351992652648,5.550016452868779,,,,,0.03548461707153668
evaluation,3517,43,,,,0.0,,,,
episode,3580,44,-14.756676348710759,,,,3.2239466594904678,63,0,
episode,3653,45,-10.71741881380648,,,,5.091333488228496,73,0,
episode,3796,46,-7.716475329181954,,,,-5.419231143303216,143,0,
episode,3968,47,-6.686803248163978,,,,-7.763423858024533,172,0,
episode,3986,48,-6.776530772023662,,,,-1.87459588767495,18,0,
episode,4125,49,-6.519906120543008,,,,-3.947535527715458,139,0,
optimizer_update,4125,49,,-0.012178980908356608,4.383729046583175,,,,,0.039282856427598746
evaluation,4125,49,,,,1.0,,,,
episode,4162,50,-2.7391894528388634,,,,18.039437458884905,37,1,
episode,4245,51,-0.2147595759982135,,,,17.942568500734627,83,1,
episode,4369,52,-0.010850628591504652,,,,-4.907605909824378,124,0,
episode,4444,53,0.11016270559218064,,,,-19.28326672487415,75,0,
episode,4550,54,1.5499435236121737,,,,17.621754839690393,106,1,
evaluation,4550,54,,,,1.0,,,,
episode,4603,55,2.836744077436297,,,,17.959339026469735,53,1,
episode,4763,56,2.5134772529110756,,,,-8.651899388555435,160,0,
optimizer_update,4763,56,,-0.017753614729736,14.589897918701173,,,,,0.04055108996108174
episode,4835,57,2.3169513543687623,,,,-9.728682843447661,72,0,
episode,4871,58,4.312487922338616,,,,18.08076979202358,36,1,
episode,4903,59,6.465930837066878,,,,17.586893619567157,32,1,
episode,4936,60,6.489491020134916,,,,18.27503928956529,33,1,
episode,4982,61,6.520478931718609,,,,18.25244761657156,46,1,
episode,5047,62,7.4374708668659775,,,,4.262313441649313,65,0,
evaluation,5047,62,,,,1.0,,,,
episode,5109,63,11.161006162876285,,,,17.952086235228922,62,1,
episode,5208,64,11.016557078867475,,,,16.177263999602292,99,1,
episode,5247,65,11.056927050409708,,,,18.36303874189209,39,1,
episode,5277,66,13.717276389323791,,,,17.95159400058538,30,1,
optimizer_update,5277,66,,0.003739015923606025,27.47079594930013,,,,,0.05175041428042783
episode,5311,67,16.458528674140723,,,,17.683840004721656,34,1,
episode,5339,68,16.378220749030458,,,,17.277690540920943,28,1,
episode,5371,69,16.38853768956923,,,,17.69006302495487,32,1,
episode,5405,70,16.404440509945395,,,,18.434067493326964,34,1,
episode,5544,71,16.268901680017695,,,,16.89705931729451,139,1,
evaluation,5544,71,,,,1.0,,,,
episode,5578,72,17.60535535562824,,,,17.6268501977548,34,1,
episode,5617,73,17.537489585834635,,,,17.273428537292872,39,1,
episode,5669,74,15.287915404493585,,,,-6.318477813808247,52,0,
episode,5798,75,15.095071351548143,,,,16.434598212437702,129,1,
optimizer_update,5798,75,,-0.015966888379167626,16.711521201663547,,,,,0.03256897178168098
episode,5829,76,15.073835602248508,,,,17.739236507588995,31,1,
episode,5866,77,15.085183156859875,,,,17.797315550835336,37,1,
episode,5908,78,15.18245810183063,,,,18.25043999062851,42,1,
episode,5941,79,15.223114785579778,,,,18.09662986244634,33,1,
episode,6000,80,12.793182348908312,,,,-5.865256873387727,59,0,
optimizer_update,6000,80,,0.03359977062791586,16.565611362457275,,,,,0.045971126295626163
evaluation,6000,80,,,,1.0,,,,
