event,step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary,episode_reward,episode_length,episode_success,kl_divergence
evaluation,0,0,,,,0.0,,,,
episode,13,1,-1.7023914299383758,,,,-1.7023914299383758,13,0,
episode,77,2,-18.245297148704527,,,,-34.78820286747068,64,0,
episode,92,3,-13.00870648653805,,,,-2.5355251622051003,15,0,
episode,150,4,-19.466319350427476,,,,-38.83915794209576,58,0,
episode,165,5,-15.972998044270645,,,,-1.9997128196433187,15,0,
episode,229,6,-19.437721291811005,,,,-36.761337529512815,64,0,
episode,302,7,-21.59674409817172,,,,-34.55088093633601,73,0,
episode,365,8,-23.527420498042073,,,,-37.04215529713454,63,0,
episode,430,9,-25.09992801855913,,,,-37.67998818269558,65,0,
episode,489,10,-26.29044699028596,,,,-37.005117735827454,59,0,
episode,600,11,-30.20308312927248,,,,-40.828752819803555,111,0,
optimizer_update,600,11,,-0.0021929502487182616,50.684963607788085,,,,,0.05282775042578578
evaluation,600,11,,,,0.0,,,,
episode,756,12,-29.444422342768043,,,,-27.201595002426302,156,0,
episode,768,13,-29.41654910414192,,,,-2.2567927759438753,12,0,
episode,878,14,-29.439022889259512,,,,-39.06389579327172,110,0,
episode,957,15,-32.65164831173668,,,,-34.1259670444149,79,0,
episode,985,16,-29.22103380691184,,,,-2.4551924812644716,28,0,
episode,1045,17,-29.538470711097176,,,,-37.72524997818936,60,0,
evaluation,1045,17,,,,0.0,,,,
episode,1069,18,-26.039800888217616,,,,-2.05545706833899,24,0,
episode,1160,19,-24.261803461832002,,,,-19.90001391883939,91,0,
optimizer_update,1160,19,,-0.008848806584460868,15.893079572253757,,,,,0.03463322732649329
episode,1231,20,-23.197194575149933,,,,-26.359028869006778,71,0,
episode,1431,21,-22.87617606690934,,,,-37.61856773739764,200,0,
episode,1449,22,-20.377856463271502,,,,-2.2183989660479124,18,0,
episode,1551,23,-23.286443419481518,,,,-31.34266233804403,102,0,
evaluation,1551,23,,,,0.0,,,,
episode,1635,24,-22.438615715143662,,,,-30.585618749893165,84,0,
episode,1806,25,-22.70589886819597,,,,-36.79879857493797,171,0,
optimizer_update,1806,25,,-0.011056241198358211,9.970842746171085,,,,,0.02952491712163795
