step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary
0,0,0.0,0.0,0.0,0.0
1044,16,-33.112646619400245,-0.022051664488390087,29.7748601436615,0.0
2113,27,-14.707395079179292,-0.0333918699891203,8.86774441268709,0.0
3006,43,-11.515128049462051,-0.020936273943839803,11.757504569159615,0.0
4137,52,-4.321797004532447,-0.001371429697610438,16.574498653411865,1.0
5013,62,-2.9176094714615277,-0.02350085207985507,3.7992207606633506,1.0
6000,71,4.932924390446602,-0.020073626345644396,2.89350896080335,1.0
