event,step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary,episode_reward,episode_length,episode_success,kl_divergence
evaluation,0,0,,,,0.0,,,,
episode,13,1,-1.9909551582708955,,,,-1.9909551582708955,13,0,
episode,77,2,-8.015036776542663,,,,-14.03911839481443,64,0,
episode,92,3,-6.104007637813687,,,,-2.281949360355735,15,0,
episode,150,4,-8.414971617883538,,,,-15.347863558093085,58,0,
episode,165,5,-7.152706715840475,,,,-2.1036471076682206,15,0,
episode,229,6,-8.41021088722422,,,,-14.697731744142947,64,0,
episode,302,7,-9.211625749913845,,,,-14.020114926051585,73,0,
episode,365,8,-9.908043302206964,,,,-14.782966168258808,63,0,
episode,430,9,-10.474773046482717,,,,-15.008611000688749,65,0,
episode,489,10,-10.901658147131059,,,,-14.74362405296613,59,0,
episode,600,11,-12.340293307647725,,,,-16.377306763437574,111,0,
optimizer_update,600,11,,-0.0015607120469212532,3.202169406414032,,,,,0.04860230351332575
evaluation,600,11,,,,0.0,,,,
episode,612,12,-11.143347157982237,,,,-2.0696568981595336,12,0,
episode,698,13,-12.444383643703267,,,,-15.29231421756605,86,0,
episode,764,14,-12.199155422776112,,,,-12.89558134882152,66,0,
episode,855,15,-13.624084232520323,,,,-16.352935205110345,91,0,
episode,951,16,-13.557328133532067,,,,-14.030170754260384,96,0,
episode,1023,17,-13.794905177489445,,,,-16.395885365625375,72,0,
evaluation,1023,17,,,,0.0,,,,
episode,1087,18,-13.919567085875116,,,,-16.029585252115503,64,0,
episode,1279,19,-13.717952984070228,,,,-12.992469982639886,192,0,
optimizer_update,1279,19,,0.0015776943923397498,1.8995796469124882,,,,,0.033873925408856434
episode,1407,20,-13.866606073789507,,,,-16.2301549501589,128,0,
episode,1476,21,-13.65582120503874,,,,-14.269458075929897,69,0,
episode,1635,22,-14.91812673828143,,,,-14.69271223058644,159,0,
evaluation,1635,22,,,,0.0,,,,
episode,1721,23,-14.9200526287419,,,,-15.31157312217076,86,0,
episode,1779,24,-15.033008501957658,,,,-14.025140080979094,58,0,
episode,1868,25,-14.834432160509957,,,,-14.367171790633348,89,0,
optimizer_update,1868,25,,0.027101607620716096,0.9634881764650345,,,,,0.031857294589281084
episode,2025,26,-14.961503006541287,,,,-15.300879214573653,157,0,
evaluation,2025,26,,,,0.0,,,,
episode,2103,27,-14.707836705302237,,,,-13.859222353234887,78,0,
episode,2121,28,-13.301136510008178,,,,-1.9625832991749048,18,0,
episode,2229,29,-13.51593990018477,,,,-15.140503884405831,108,0,
episode,2325,30,-13.432494590467588,,,,-15.39570185298706,96,0,
episode,2510,31,-13.841712486194913,,,,-18.36163703320316,185,0,
optimizer_update,2510,31,,0.18525206365368582,1.6810201677409085,,,,,0.03730878923934969
evaluation,2510,31,,,,0.0,,,,
episode,2613,32,-12.91744179755617,,,,-5.450005344199019,103,0,
episode,2770,33,-12.217475067682374,,,,-8.311905823432785,157,0,
episode,2852,34,-10.924352885453771,,,,-1.0939182586930691,82,0,
episode,2930,35,-9.941004611125445,,,,-4.533689047350083,78,0,
episode,2958,36,-8.65092435965505,,,,-2.4000766998697074,28,0,
episode,3050,37,-6.331290523598386,,,,9.337116007331758,92,1,
optimizer_update,3050,37,,-0.0011936497046715682,3.455156988567776,,,,,0.031199650942451425
evaluation,3050,37,,,,0.0,,,,
episode,3202,38,-7.363103227255211,,,,-12.280710335743152,152,0,
episode,3231,39,-6.046553844687246,,,,-1.9750100587261838,29,0,
episode,3305,40,-5.487621888093879,,,,-9.806382287053392,74,0,
episode,3413,41,-4.580864624939085,,,,-9.294064401655227,108,0,
episode,3479,42,-4.484317957448373,,,,-4.484538669291884,66,0,
episode,3521,43,-2.605809973574128,,,,10.473174015309661,42,1,
evaluation,3521,43,,,,0.0,,,,
episode,3586,44,-3.3648658724503013,,,,-8.684477247454808,65,0,
optimizer_update,3586,44,,-0.0024325490101344055,1.961372670200136,,,,,0.03125298913154337
episode,3638,45,-3.8793434888183027,,,,-9.678465211030094,52,0,
episode,3691,46,-4.844654890086584,,,,-12.053190712552519,53,0,
episode,3793,47,-6.887002153790266,,,,-11.086356629705058,102,0,
episode,3876,48,-6.645969869878238,,,,-9.870387496622863,83,0,
episode,3906,49,-6.703074122474158,,,,-2.546052584685385,30,0,
episode,3954,50,-6.142646598726139,,,,-4.202107049573213,48,0,
episode,3965,51,-5.409035183375073,,,,-1.9579502481445672,11,0,
episode,4029,52,-5.935771608609707,,,,-9.75190292163822,64,0,
evaluation,4029,52,,,,0.0,,,,
episode,4094,53,-8.079907560047323,,,,-10.968185499066486,65,0,
episode,4108,54,-7.433564005031565,,,,-2.2210416972972453,14,0,
optimizer_update,4108,54,,0.0019382656707117956,2.0721495813793607,,,,,0.04091457377136168
episode,4188,55,-6.995978868002479,,,,-5.302613840739244,80,0,
episode,4269,56,-6.906845091608156,,,,-11.161852948609274,81,0,
episode,4359,57,-6.8384161664449845,,,,-10.402067378073347,90,0,
episode,4416,58,-6.259152847468597,,,,-4.077754306858988,57,0,
episode,4430,59,-6.208688571955007,,,,-2.041409829549491,14,0,
episode,4487,60,-6.752689568347094,,,,-9.642117013494078,57,0,
episode,4521,61,-5.510098859845597,,,,10.467956836870405,34,1,
evaluation,4521,61,,,,1.0,,,,
episode,4599,62,-5.001387514925754,,,,-4.664789472439791,78,0,
episode,4668,63,-4.3279767758890575,,,,-4.234078108699526,69,0,
optimizer_update,4668,63,,-0.003181542321625683,2.985039336813821,,,,,0.025923748125529125
episode,4712,64,-3.105380872430985,,,,10.00491733728349,44,1,
episode,4809,65,-3.7724987649624766,,,,-11.97379276605416,97,0,
episode,4845,66,-1.6065577990071904,,,,10.49755671094358,36,1,
episode,4948,67,-1.7953473217066551,,,,-12.289962605067993,103,0,
episode,4999,68,-0.3547267096636409,,,,10.328451813571155,51,1,
episode,5038,69,0.8865809304191208,,,,10.371666571278125,39,1,
evaluation,5038,69,,,,1.0,,,,
episode,5064,70,1.6166761397614144,,,,-2.34116492007114,26,0,
episode,5167,71,0.07490935577671073,,,,-4.949711002976635,103,0,
episode,5215,72,1.5883857363403775,,,,10.469974333196879,48,1,
optimizer_update,5215,72,,-0.009881052964677414,7.317421595255534,,,,,0.03647518346810506
episode,5246,73,1.7390481098952235,,,,-2.7274543731510636,31,0,
episode,5297,74,1.7593334906559903,,,,10.207771144891158,51,1,
episode,5351,75,2.069033213944221,,,,-8.876795533171855,54,0,
episode,5394,76,2.0508386919925456,,,,10.315611491426825,43,1,
episode,5423,77,4.314646052726731,,,,10.348111002273857,29,1,
episode,5480,78,2.374306156210228,,,,-9.074947151593864,57,0,
episode,5526,79,2.372323138212971,,,,10.35183639130555,46,1,
evaluation,5526,79,,,,1.0,,,,
episode,5595,80,1.5300488094976168,,,,-10.763908207224684,69,0,
episode,5663,81,1.0585976591291832,,,,-9.66422250666097,68,0,
episode,5736,82,-0.5553827231700537,,,,-5.66982948979549,73,0,
optimizer_update,5736,82,,0.003988996700004295,7.667533185746935,,,,,0.03930364359446146
episode,5762,83,0.7645948589955451,,,,10.472321448504925,26,1,
episode,5802,84,0.7979520130835468,,,,10.541342685771173,40,1,
episode,5839,85,2.7275981683670536,,,,10.419666019663214,37,1,
episode,5870,86,2.7320863313338712,,,,10.360493121095002,31,1,
episode,5905,87,2.7500360317822774,,,,10.527608006757916,35,1,
episode,5940,88,4.710516560854785,,,,10.529858139131218,35,1,
episode,5995,89,4.704514726185636,,,,10.291818044614047,55,1,
episode,6000,90,5.781084209891525,,,,0.0017866298342123612,5,0,
optimizer_update,6000,90,,-0.017498197220265865,5.824059311548869,,,,,0.027300044304380815
evaluation,6000,90,,,,1.0,,,,
