event,step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary,episode_reward,episode_length,episode_success,kl_divergence
evaluation,0,0,,,,0.0,,,,
episode,13,1,-1.7023914299383758,,,,-1.7023914299383758,13,0,
episode,77,2,-18.245297148704527,,,,-34.78820286747068,64,0,
episode,92,3,-13.00870648653805,,,,-2.5355251622051003,15,0,
episode,150,4,-19.466319350427476,,,,-38.83915794209576,58,0,
episode,165,5,-15.972998044270645,,,,-1.9997128196433187,15,0,
episode,229,6,-19.437721291811005,,,,-36.761337529512815,64,0,
episode,302,7,-21.59674409817172,,,,-34.55088093633601,73,0,
episode,365,8,-23.527420498042073,,,,-37.04215529713454,63,0,
episode,430,9,-25.09992801855913,,,,-37.67998818269558,65,0,
episode,489,10,-26.29044699028596,,,,-37.005117735827454,59,0,
episode,600,11,-30.20308312927248,,,,-40.828752819803555,111,0,
optimizer_update,600,11,,-0.022051664488390087,29.7748601436615,,,,,0.023656863843643804
evaluation,600,11,,,,0.0,,,,
episode,684,12,-30.59184882845444,,,,-38.6758598592903,84,0,
episode,836,13,-33.792815992877664,,,,-34.54519680643735,152,0,
episode,935,14,-33.76727775763111,,,,-38.58377558963024,99,0,
episode,955,15,-33.80220998345443,,,,-2.3490350778765277,20,0,
episode,1044,16,-33.112646619400245,,,,-29.8657038889709,89,0,
evaluation,1044,16,,,,0.0,,,,
episode,1225,17,-33.770194346983644,,,,-41.12635821216997,181,0,
optimizer_update,1225,17,,-0.015325032011605799,10.199514400959014,,,,,0.01491140779980924
episode,1312,18,-32.14138305625651,,,,-20.754042389863173,87,0,
episode,1327,19,-28.554337112823276,,,,-1.8095287483632567,15,0,
episode,1343,20,-25.010573119883183,,,,-1.5674778064265846,16,0,
episode,1422,21,-24.33078163097495,,,,-34.03083793072122,79,0,
episode,1588,22,-21.58200648917902,,,,-11.188108441330954,166,0,
evaluation,1588,22,,,,0.0,,,,
episode,1677,23,-20.327617013273027,,,,-22.00130204737745,89,0,
episode,1750,24,-19.155431094604904,,,,-26.86191640294902,73,0,
optimizer_update,1750,24,,-0.0333918699891203,8.86774441268709,,,,,0.01731875034359594
episode,1890,25,-21.259189262475655,,,,-23.386616756584026,140,0,
