step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary
0,0,0.0,0.0,0.0,0.0
1026,16,-13.157621231969056,-0.02252741497941315,1.8222412344068288,0.0
2081,31,-7.211435514259675,-0.02103872850744261,0.6827986670864953,0.0
3172,44,-4.9493289884465295,-0.015792074820233717,2.1141578124629126,0.0
4051,53,-5.529842962508649,-0.016405618749558926,1.3093255147337914,1.0
5083,66,-2.364207278575515,-0.009375410958785902,2.7014898766170847,1.0
6000,77,5.887011836796731,-0.011539693921804428,5.505688786506653,1.0
