step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary
0,0,0.0,0.0,0.0,0.0
1023,17,-13.794905177489445,-0.0015607120469212532,3.202169406414032,0.0
2025,26,-14.961503006541287,0.027101607620716096,0.9634881764650345,0.0
3050,37,-6.331290523598386,-0.0011936497046715682,3.455156988567776,0.0
4029,52,-5.935771608609707,-0.0024325490101344055,1.961372670200136,0.0
5038,69,0.8865809304191208,-0.003181542321625683,2.985039336813821,1.0
6000,90,5.781084209891525,-0.017498197220265865,5.824059311548869,1.0
