step,episode,reward_mean,actor_loss,critic_loss,evaluation_primary
0,0,0.0,0.0,0.0,0.0
1045,17,-29.538470711097176,-0.0021929502487182616,50.684963607788085,0.0
2162,31,-17.238278209130247,-0.011056241198358211,9.970842746171085,0.0
3077,39,-20.653653707692918,-0.0013949548204739888,9.282546281814575,0.0
4125,49,-6.519906120543008,-0.012178980908356608,4.383729046583175,1.0
5047,62,7.4374708668659775,-0.017753614729736,14.589897918701173,1.0
6000,80,12.793182348908312,0.03359977062791586,16.565611362457275,1.0
